Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
1,Who was the Autonomous Governorate of Estonia's Governor of Estonia when they declared sovereignty as the Estonian Autonoomne Eestimaa kubermang?,When the Autonomous Governorate of Estonia declared sovereignty as the Estonian Autonoomne Eestimaa kubermang,date,When the Estonian Autonoomne Eestimaa kubermang declared sovereignty,date,intermediate_question_different
2,Who founded Bucks County when it was one of Pennsylvania's three original counties created by the colonial proprietor?,When Bucks County was one of Pennsylvania's three original counties created by the colonial proprietor,time interval,When Bucks County was one of Pennsylvania's three original counties created by the colonial proprietor,date,answer_type_different
4,"During DeMarcus Cousins' draft to the Sacramento Kings as the 5th pick, which arena was the Sacramento Kings' home venue?",When DeMarcus Cousins was drafted to the Sacramento Kings as the 5th pick,date,When DeMarcus Cousins was drafted to the Sacramento Kings,date,intermediate_question_different
5,"What major city was Scholastic Corporation founded in by Maurice R Robinson to publish youth magazines, which covered high school sports and social activities?",When Maurice R. Robinson founded Scholastic Corporation to publish youth magazines,date,When Scholastic Corporation was founded by Maurice R Robinson,date,intermediate_question_different
7,Who was Katharine Hepburn's romantic partner before she won the Academy Award for Best Actress for her performance in Guess Who's Coming to Dinner?,When Katharine Hepburn won the Academy Award for Best Actress for her performance in Guess Who's Coming to Dinner,date,When Katharine Hepburn won the Academy Award for Best Actress for her performance in Guess Who's Coming to Dinner?,date,intermediate_question_different
8,"Who recorded and released the version of ""Mule Train"" from the album Sixteen Tons Recorded, as catalog number 40258?","When the version of ""Mule Train"" from the album Sixteen Tons Recorded was released as catalog number 40258",date,"When the version of ""Mule Train"" from the album Sixteen Tons Recorded was released",date,intermediate_question_different
10,What film award did Barbara Stanwyck receive after her years of being active?,When Barbara Stanwyck was active,time interval,When Barbara Stanwyck received a film award,date,intermediate_question_and_answer_type_different
11,"What musical group was on an eighteen-date concert tour using pyrotechnic displays at the time of The Station nightclub fire in West Warwick, Rhode Island, United States?","When The Station nightclub fire occurred in West Warwick, Rhode Island, United States",date,"When The Station nightclub fire happened in West Warwick, Rhode Island, United States",date,intermediate_question_different
13,"When RCD Mallorca was newly promoted to the Segunda División, which club did Spanish footballer Stoichkov sign a four-year contract with?",When RCD Mallorca was newly promoted to the Segunda División,date,When RCD Mallorca was newly promoted to the Segunda División,time interval,answer_type_different
15,"During the time Juan M Thompson was harassing his ex-girlfriend and making bomb threats to Jewish Community Centers, was he successful in running for mayor of St Louis?",When Juan M. Thompson was harassing his ex-girlfriend and making bomb threats to Jewish Community Centers,time interval,When Juan M Thompson ran for mayor of St Louis,time interval,intermediate_question_different
